Player,Year,Plays,EPA+CPOE composite,Adj. EPA/play,EPA/play,Success rate,Cmp%,Expected cmp%,CPOE,Air yards
S.Clifford,2023,2,0.581,0.648,0.648,50.00%,100,41.4,58.6,34
J.Brissett,2023,30,0.383,0.742,0.742,56.70%,81.8,64.2,17.7,8
B.Purdy,2023,646,0.188,0.333,0.316,54.30%,70.7,66.8,3.9,8.2
C.Wentz,2023,46,0.182,0.268,0.266,56.50%,73.9,67.2,6.7,6.7
C.Beathard,2023,68,0.162,0.171,0.171,51.50%,76.9,67.2,9.8,6.4
D.Prescott,2023,792,0.159,0.249,0.227,52.90%,70.6,66.7,3.8,7.8
J.Allen,2023,833,0.146,0.208,0.204,52.30%,70.6,66.1,4.5,8.3
K.Cousins,2023,359,0.134,0.177,0.145,48.20%,71.5,67.2,4.3,7.2
P.Mahomes,2023,899,0.132,0.179,0.165,49.50%,72.7,68.8,3.9,6.6
M.Rudolph,2023,134,0.124,0.127,0.115,47.00%,72,66.1,5.9,7.4
J.Browning,2023,304,0.121,0.15,0.136,48.40%,73.1,69.2,3.9,6.3
J.Hurts,2023,796,0.121,0.145,0.126,47.90%,70.9,66.7,4.1,8.5
J.Love,2023,740,0.12,0.183,0.177,48.00%,66.7,65.3,1.4,8.4
T.Tagovailoa,2023,683,0.12,0.156,0.131,48.60%,70.2,67.1,3.1,7.8
L.Jackson,2023,756,0.118,0.152,0.137,50.50%,69.2,66,3.2,8.7
M.White,2023,7,0.116,-1.038,-1.911,14.30%,83.3,74.5,8.8,3.8
J.Goff,2023,790,0.112,0.162,0.141,50.10%,71.1,69.7,1.3,7
N.Mullens,2023,176,0.112,0.099,0.097,44.90%,69.9,64.3,5.7,9.7
M.Willis,2023,18,0.105,-0.206,-0.313,44.40%,80,65.6,14.4,7.8
C.Stroud,2023,655,0.096,0.139,0.129,46.90%,67,66.9,0.1,9
B.Mayfield,2023,777,0.096,0.143,0.137,46.10%,66.2,66.4,-0.2,8.5
R.Wilson,2023,589,0.095,0.066,0.045,45.80%,71.6,66.7,4.9,7
M.Stafford,2023,637,0.092,0.157,0.144,47.10%,66.4,68.3,-1.9,8
G.Smith,2023,590,0.089,0.086,0.082,48.80%,68.4,66,2.4,7.2
D.Carr,2023,612,0.087,0.071,0.05,46.70%,71.7,68.7,3,8
T.Lawrence,2023,692,0.083,0.092,0.071,48.80%,67,66.1,0.9,8.2
M.Cunningham,2023,1,0.08,-1.285,-1.285,0.00%,,,0,
T.Taylor,2023,244,0.073,0.013,0.01,43.90%,70.7,66.3,4.4,8.9
J.Herbert,2023,558,0.073,0.084,0.081,46.80%,67,67.4,-0.3,7.6
J.Burrow,2023,426,0.069,0.048,0.037,47.90%,69.5,68.3,1.2,6.5
A.Dalton,2023,68,0.065,0.137,0.137,44.10%,59.6,65.2,-5.5,8.2
C.Rush,2023,27,0.064,-0.079,-0.079,51.90%,75,68.2,6.8,9
M.Mariota,2023,34,0.062,0.054,0.017,55.90%,65.2,65.6,-0.4,7.7
S.Darnold,2023,63,0.061,0.068,0.068,52.40%,63.6,65.1,-1.4,8.4
K.Murray,2023,341,0.055,0.064,0.03,44.00%,67.2,69.5,-2.3,7.2
R.Tannehill,2023,293,0.055,0.011,0.006,43.00%,67.1,66.1,1,8.1
J.Fields,2023,550,0.054,0.013,-0.009,41.30%,67,66.2,0.8,7.9
D.Watson,2023,223,0.052,0.025,-0.021,42.20%,63.6,64,-0.3,9.2
D.Lock,2023,91,0.048,0.087,0.087,36.30%,64,69.1,-5.1,8.1
J.Hall,2023,27,0.044,-0.521,-0.542,37.00%,68.4,68,0.5,7.6
T.Huntley,2023,52,0.041,0.097,0.097,42.30%,60,67.1,-7.1,6.6
J.Flacco,2023,281,0.04,0.007,-0.073,43.10%,65.4,66.8,-1.4,8.9
W.Levis,2023,313,0.04,-0.01,-0.033,42.50%,60.3,60.7,-0.4,10.7
G.Minshew II,2023,578,0.038,0.033,0.022,43.40%,65.6,68.9,-3.3,7.4
L.Woodside,2023,6,0.036,-0.722,-1.626,66.70%,75,77.9,-2.9,1.5
A.Rodgers,2023,3,0.035,-0.389,-0.389,33.30%,,,0,
A.McCarron,2023,7,0.034,-0.873,-0.873,28.60%,80,84.6,-4.6,-1.6
S.Howell,2023,758,0.03,-0.047,-0.079,43.00%,67.1,67.6,-0.4,7.2
D.Ridder,2023,482,0.029,-0.028,-0.061,47.10%,66.4,67.7,-1.3,8.3
J.Stidham,2023,83,0.028,0.011,0.011,42.20%,64.5,68.2,-3.7,8.2
D.Jones,2023,240,0.026,-0.154,-0.211,41.70%,70.6,70.3,0.3,7
N.Peterman,2023,1,0.025,-0.094,-0.094,0.00%,,,0,
A.Richardson,2023,122,0.023,0.058,0.057,43.40%,61.7,69.4,-7.7,8
T.Heinicke,2023,160,0.023,0.078,0.068,44.40%,58.3,67.4,-9.1,8.3
J.Garoppolo,2023,206,0.022,-0.043,-0.063,48.10%,66.7,68.6,-1.9,8.2
J.Dobbs,2023,555,0.02,-0.06,-0.085,42.30%,65.8,67.6,-1.8,7.8
K.Pickett,2023,392,0.019,-0.053,-0.055,42.90%,64.8,67,-2.1,7.3
B.Hoyer,2023,47,0.018,0.096,0.024,48.90%,54.8,65.9,-11.2,8.2
T.Bagent,2023,175,0.018,-0.052,-0.088,48.60%,68.1,70.5,-2.4,5.8
B.Young,2023,660,0.016,-0.139,-0.178,38.80%,66.2,67.6,-1.4,7.6
A.O'Connell,2023,386,0.015,-0.027,-0.038,42.20%,66.1,70.1,-3.9,7.8
M.Trubisky,2023,136,0.012,-0.122,-0.145,46.30%,64.4,66.7,-2.2,9.1
C.Keenum,2023,70,0.011,-0.228,-0.265,41.40%,66.7,69.6,-2.9,7.2
M.Jones,2023,402,0.011,-0.082,-0.133,44.50%,66.1,69,-2.9,7
E.Stick,2023,224,0.011,-0.027,-0.098,42.90%,65.7,70.5,-4.8,6.9
T.DeVito,2023,255,0.009,-0.19,-0.194,34.50%,67.9,70.8,-2.9,6.3
Z.Wilson,2023,464,0.008,-0.191,-0.22,38.60%,64.4,67.6,-3.1,7.4
B.Zappe,2023,258,0.005,-0.277,-0.32,32.90%,62.9,67.3,-4.4,8
T.Boyle,2023,93,-0.003,-0.258,-0.288,31.20%,64.9,70.5,-5.6,5.5
T.Hill,2023,97,-0.004,0.059,0.055,48.50%,54.5,67.2,-12.7,11.5
J.Winston,2023,52,-0.02,-0.148,-0.148,32.70%,55.6,63.6,-8,12.2
C.Tune,2023,38,-0.021,-0.947,-0.983,18.40%,57.1,72.3,-15.1,2.5
T.Siemian,2023,182,-0.021,-0.247,-0.301,36.30%,59.7,68.7,-8.9,5.7
J.Driskel,2023,35,-0.03,-0.297,-0.299,37.10%,52,63,-11,9.3
D.Thompson-Robinson,2023,136,-0.038,-0.205,-0.222,39.00%,57.1,68.8,-11.7,6
P.Walker,2023,139,-0.046,-0.187,-0.222,36.70%,51.4,64.4,-13,7.8
B.Gabbert,2023,41,-0.057,-0.237,-0.298,36.60%,52.9,68.3,-15.4,5.9
B.Rypien,2023,46,-0.073,-0.327,-0.367,28.30%,48.6,67.6,-19,8.2
D.Mills,2023,45,-0.077,-0.122,-0.122,33.30%,48.7,67,-18.3,8.1
K.Trask,2023,1,-0.15,-1.88,-1.88,0.00%,0,47,-47,3
N.Mullens,2022,29,0.273,0.404,0.404,58.60%,84,68.5,15.5,6.8
T.Taylor,2022,16,0.209,0.302,0.297,62.50%,75,65.4,9.6,12.4
T.Hill,2022,121,0.2,0.266,0.266,51.20%,72.2,62,10.2,13.9
P.Mahomes,2022,881,0.182,0.309,0.304,54.60%,71.9,67.8,4.1,7.2
B.Allen,2022,5,0.179,-0.044,-0.044,40.00%,100,73.4,26.6,3.3
T.Tagovailoa,2022,457,0.148,0.256,0.242,49.90%,66.9,65.5,1.4,9.7
J.Hurts,2022,807,0.145,0.226,0.21,48.90%,70.4,67.5,2.9,8.4
C.Streveler,2022,25,0.142,0.171,0.171,56.00%,66.7,60.4,6.3,8.7
B.Purdy,2022,280,0.134,0.226,0.225,50.40%,69.5,68.5,1,7.3
S.Darnold,2022,181,0.134,0.169,0.158,48.60%,68.9,64,4.9,9
J.Garoppolo,2022,362,0.128,0.24,0.236,51.40%,67.6,68.7,-1,6.9
J.Burrow,2022,877,0.127,0.176,0.163,51.00%,70.3,67.2,3.1,7
J.Allen,2022,844,0.126,0.2,0.184,52.30%,65.5,64.3,1.3,9.6
D.Prescott,2022,554,0.122,0.201,0.175,52.50%,67.6,67.1,0.5,8.2
G.Smith,2022,758,0.117,0.111,0.09,50.10%,72.4,66.4,5.9,7.8
J.Goff,2022,664,0.108,0.194,0.171,49.20%,68,69.5,-1.5,7.1
J.Love,2022,20,0.106,0.176,0.176,45.00%,70,70.7,-0.7,7.5
J.Brissett,2022,464,0.105,0.121,0.115,48.30%,67.2,64.3,2.9,8.7
B.Zappe,2022,112,0.102,0.071,0.065,47.30%,73.9,68.1,5.8,7.2
B.Hoyer,2022,7,0.102,-0.304,-0.304,42.90%,83.3,70.4,13,4.7
D.Jones,2022,748,0.095,0.117,0.11,49.60%,70.9,69.5,1.4,6.4
T.Lawrence,2022,790,0.094,0.125,0.115,51.80%,68,67.3,0.6,7.4
K.Cousins,2022,788,0.09,0.094,0.072,50.00%,70,68,2,7.5
L.Jackson,2022,475,0.084,0.117,0.109,49.30%,65.7,66.3,-0.6,8.5
J.Herbert,2022,847,0.08,0.086,0.068,47.00%,70,69.2,0.8,6.3
R.Tannehill,2022,402,0.08,0.089,0.072,48.00%,66.9,66.3,0.5,7.8
M.Trubisky,2022,215,0.078,0.067,0.06,46.50%,66.1,64.5,1.6,9.7
T.Bridgewater,2022,90,0.075,0.061,0.032,48.90%,65.3,63.8,1.6,9.7
J.Stidham,2022,110,0.075,0.061,0.019,50.90%,67.1,65.5,1.5,9.6
B.Gabbert,2022,8,0.073,0.027,0.027,37.50%,75,71.5,3.5,2.5
A.Dalton,2022,436,0.072,0.066,0.042,50.00%,69.2,68.6,0.6,7.9
M.Mariota,2022,416,0.072,0.084,0.073,49.50%,63.4,64.1,-0.6,10.5
T.Brady,2022,872,0.07,0.08,0.071,47.80%,68.4,68.9,-0.6,6.9
A.Rodgers,2022,624,0.069,0.059,0.039,46.60%,67.3,66.8,0.5,8.2
D.Carr,2022,575,0.069,0.109,0.092,43.10%,63.8,66.7,-2.9,9.4
K.Pickett,2022,497,0.061,0.033,0.028,45.90%,66.4,65.6,0.8,7.6
N.Sudfeld,2022,1,0.06,-0.899,-0.899,0.00%,,,0,
T.Heinicke,2022,310,0.055,0.001,-0.035,45.20%,66.3,64.6,1.7,8.6
J.Winston,2022,136,0.054,-0.019,-0.065,46.30%,65.8,63,2.7,11.6
T.Huntley,2022,205,0.053,-0.004,-0.05,43.40%,68.1,66.5,1.6,7.1
K.Murray,2022,494,0.052,0.034,0.028,44.50%,69.6,70.4,-0.8,7
G.Minshew II,2022,89,0.049,0.041,-0.002,42.70%,62.9,64.6,-1.8,10
D.Webb,2022,46,0.049,0.117,0.117,41.30%,60.5,67.5,-7,5.8
J.Fields,2022,550,0.045,0.04,0.032,45.30%,63.4,65.8,-2.5,8.9
M.Stafford,2022,348,0.041,-0.011,-0.061,47.40%,69.6,69.6,0,6.8
S.Howell,2022,29,0.04,0.064,0.013,44.80%,61.1,66,-4.9,8.8
R.Wilson,2022,626,0.04,0.006,-0.005,40.90%,64.3,65.5,-1.2,8.8
M.Ryan,2022,541,0.037,-0.024,-0.053,44.70%,70.4,70.5,-0.1,6.2
M.Jones,2022,528,0.036,-0.023,-0.031,41.30%,67.9,68.4,-0.4,8.1
D.Ridder,2022,146,0.034,-0.01,-0.028,41.80%,66.4,67.7,-1.3,8.2
C.Daniel,2022,14,0.031,0.041,0.041,35.70%,66.7,71.7,-5.1,1.4
